Name,Slug,Image,Category,Genre,Year,Region,Actors,Description,Resource URL,Added,Featured
亮剑,liang-jian,,电视剧,战争; 历史,2005,中国,李幼斌; 何政军; 张光北; 童蕾; 孙俪,"八路军独立团团长李云龙,打仗不按套路出牌,却总能把硬仗打赢。从抗日战争到解放战争,再到建国后的军校岁月,他与国民党将领楚云飞、政委赵刚之间的对手戏与兄弟情,构成了这部剧的骨架。「狭路相逢勇者胜,亮剑精神」——这句话让这部剧成为二十年来国产战争剧里绕不开的一部。",,2025-01-08,true
无名之辈,wu-ming-zhi-bei,,电影,喜剧; 犯罪,2018,中国,陈建斌; 任素汐; 章宇; 潘斌龙,"两个劫匪抢了一家手机店,抢来的却是一堆模型机。他们躲进一间屋子,里面是个高位截瘫、一心求死的毒舌女人。同一个夜晚,一个丢了枪的保安、一个被追债的老板、一场大雨,把一群不起眼的人拧在了一起。荒诞里全是心酸。",,2025-02-14,true
流浪地球 2,liu-lang-di-qiu-2,,电影,科幻; 灾难,2023,中国,吴京; 刘德华; 李雪健; 沙溢,"太阳即将吞没地球,人类给地球装上一万座行星发动机,准备带着它逃离太阳系。这是「流浪地球」计划开始之前的故事:太空电梯危机、月球坠落、数字生命的争论,以及一代人用命换来的启航。",,2025-03-02,true
狂飙,kuang-biao,,电视剧,悬疑; 犯罪,2023,中国,张译; 张颂文; 李一桐; 张志坚,"一个卖鱼的小贩,二十年后成了京海市说一不二的人物;一个刑警,二十年里一次次被调离又一次次回来。2000、2006、2021 三个时间点交替推进,扫黑除恶背后是两个人各自走上的路。",,2025-03-20,true
甄嬛传,zhen-huan-zhuan,,电视剧,古装; 宫斗,2011,中国,孙俪; 陈建斌; 蔡少芬; 蒋欣; 陶昕然,"甄嬛入宫时只想安稳度日,最后却坐上了太后的位置。七十六集,从少女到权谋者,每一步都踩着别人的结局。台词考究,人物没有纯粹的好坏,十几年过去仍然被反复重看。",,2025-01-22,true
大明王朝 1566,da-ming-wang-chao-1566,,电视剧,古装; 历史,2007,中国,陈宝国; 黄志忠; 倪大红; 王庆祥,"嘉靖四十年,「改稻为桑」的国策落到浙江,一层层压下去,压出了贪腐、民变和一个王朝的病灶。海瑞上《治安疏》骂皇帝,买好棺材等死。中国电视剧里少见的政治正剧。",,2025-04-05,false
庆余年,qing-yu-nian,,电视剧,古装; 喜剧,2019,中国,张若昀; 陈道明; 吴刚; 李沁,"一个带着现代记忆的年轻人生在庆国,从澹州小院一路走进京都的漩涡。庙堂、江湖、身世之谜层层揭开,又时不时冒出几句让人笑出声的现代腔。",,2025-02-28,false
隐秘的角落,yin-mi-de-jiao-luo,,电视剧,悬疑; 犯罪,2020,中国,秦昊; 王景春; 荣梓杉; 史彭元,"三个孩子去爬山,无意中拍到了一场谋杀。他们没有报警,而是找上了凶手。一场关于「你看我像好人吗」的对峙,把大人和小孩都逼到了角落里。",,2025-05-11,true
沉默的真相,chen-mo-de-zhen-xiang,,电视剧,悬疑; 犯罪,2020,中国,廖凡; 白宇; 谭卓; 宁理,"地铁站里出现一具尸体,像是一场精心策划的自杀式举报。三条时间线交错,三代人接力把一桩被埋了七年的案子推到光下。",,2025-05-30,false
我在他乡挺好的,wo-zai-ta-xiang,,电视剧,都市; 现实,2021,中国,周雨彤; 任素汐; 孙千; 马思超,"四个在北京打拼的女生,合租、跳槽、相亲、还债。其中一个在生日前夜跳了楼,剩下的人一边收拾她的遗物,一边继续过自己的日子。",,2025-06-15,false
